Web Search interest: ebola; taylor swift; 1989; halloween
United States; Past 30 days

Interest over time
Day,ebola,taylor swift,1989,halloween
2014-10-04,24,1,0,14
2014-10-05,21,1,0,15
2014-10-06,21,1,0,13
2014-10-07,17,1,0,13
2014-10-08,28,1,0,12
2014-10-09,28,1,0,13
2014-10-10,21,1,0,13
2014-10-11,14,1,0,15
2014-10-12,23,1,0,16
2014-10-13,26,1,0,14
2014-10-14,28,3,1,14
2014-10-15,45,2,1,15
2014-10-16,50,2,0,15
2014-10-17,41,1,1,15
2014-10-18,26,2,1,19
2014-10-19,18,2,0,19
2014-10-20,17,1,0,18
2014-10-21,17,2,0,18
2014-10-22,13,2,0,19
2014-10-23,11,2,1,20
2014-10-24,26,2,1,23
2014-10-25,12,3,1,29
2014-10-26,10,2,1,28
2014-10-27,12,6,3,27
2014-10-28,10,6,2,30
2014-10-29,8,5,2,33
2014-10-30,7,4,1,46
2014-10-31,6,3,1,100
2014-11-01,5,3,1,40
2014-11-02, , , , 
2014-11-03, , , , 


Top subregions for ebola
Subregion,ebola,taylor swift,1989,halloween
Texas,100,53,57,74
Oklahoma,93,59,58,77
New York,87,66,60,77
Louisiana,86,57,60,72
Delaware,86,80,0,81
District of Columbia,86,76,76,75
South Dakota,86,80,0,93
Connecticut,84,77,74,70
West Virginia,82,52,0,91
Maine,82,73,0,78
Mississippi,81,58,0,65
Vermont,81,59,0,80
Ohio,80,63,62,72
Alabama,80,64,72,68
Arkansas,79,57,0,72
New Jersey,77,59,55,79
Wyoming,76,0,0,92
North Dakota,76,70,0,86
Rhode Island,74,100,100,81
Maryland,74,53,54,62
Montana,73,57,0,89
Illinois,71,55,57,73
Alaska,71,0,0,75
Georgia,70,49,56,62
New Hampshire,69,80,0,77
Massachusetts,69,75,74,71
Kansas,68,51,59,64
Kentucky,68,64,69,75
Missouri,68,57,59,70
Tennessee,68,66,70,71
Florida,68,49,52,76
Pennsylvania,67,71,73,80
Michigan,67,60,67,78
North Carolina,67,56,61,64
Nevada,67,49,50,78
South Carolina,66,58,59,66
Nebraska,66,68,70,78
New Mexico,65,49,0,80
Hawaii,64,53,58,78
Colorado,63,52,50,74
Indiana,63,62,72,72
California,63,61,69,83
Iowa,63,69,68,72
Wisconsin,62,59,61,69
Arizona,61,54,58,73
Idaho,61,61,0,83
Minnesota,60,59,57,68
Washington,60,53,67,67
Utah,50,82,77,100
Virginia,47,45,42,39
Oregon,31,32,36,31

Top subregions for taylor swift
Subregion,ebola,taylor swift,1989,halloween
Rhode Island,74,100,100,81
Utah,50,82,77,100
New Hampshire,69,80,0,77
Delaware,86,80,0,81
South Dakota,86,80,0,93
Connecticut,84,77,74,70
District of Columbia,86,76,76,75
Massachusetts,69,75,74,71
Maine,82,73,0,78
Pennsylvania,67,71,73,80
North Dakota,76,70,0,86
Iowa,63,69,68,72
Nebraska,66,68,70,78
Tennessee,68,66,70,71
New York,87,66,60,77
Alabama,80,64,72,68
Kentucky,68,64,69,75
Ohio,80,63,62,72
Indiana,63,62,72,72
Idaho,61,61,0,83
California,63,61,69,83
Michigan,67,60,67,78
Wisconsin,62,59,61,69
Oklahoma,93,59,58,77
Vermont,81,59,0,80
Minnesota,60,59,57,68
New Jersey,77,59,55,79
Mississippi,81,58,0,65
South Carolina,66,58,59,66
Missouri,68,57,59,70
Arkansas,79,57,0,72
Louisiana,86,57,60,72
Montana,73,57,0,89
North Carolina,67,56,61,64
Illinois,71,55,57,73
Arizona,61,54,58,73
Maryland,74,53,54,62
Washington,60,53,67,67
Texas,100,53,57,74
Hawaii,64,53,58,78
Colorado,63,52,50,74
West Virginia,82,52,0,91
Kansas,68,51,59,64
Nevada,67,49,50,78
Georgia,70,49,56,62
Florida,68,49,52,76
New Mexico,65,49,0,80
Virginia,47,45,42,39
Oregon,31,32,36,31
Alaska,71,0,0,75
Wyoming,76,0,0,92

Top subregions for 1989
Subregion,ebola,taylor swift,1989,halloween
Rhode Island,74,100,100,81
Utah,50,82,77,100
District of Columbia,86,76,76,75
Massachusetts,69,75,74,71
Connecticut,84,77,74,70
Pennsylvania,67,71,73,80
Alabama,80,64,72,68
Indiana,63,62,72,72
Tennessee,68,66,70,71
Nebraska,66,68,70,78
California,63,61,69,83
Kentucky,68,64,69,75
Iowa,63,69,68,72
Michigan,67,60,67,78
Washington,60,53,67,67
Ohio,80,63,62,72
North Carolina,67,56,61,64
Wisconsin,62,59,61,69
New York,87,66,60,77
Louisiana,86,57,60,72
Kansas,68,51,59,64
South Carolina,66,58,59,66
Missouri,68,57,59,70
Arizona,61,54,58,73
Oklahoma,93,59,58,77
Hawaii,64,53,58,78
Illinois,71,55,57,73
Minnesota,60,59,57,68
Texas,100,53,57,74
Georgia,70,49,56,62
New Jersey,77,59,55,79
Maryland,74,53,54,62
Florida,68,49,52,76
Nevada,67,49,50,78
Colorado,63,52,50,74
Virginia,47,45,42,39
Oregon,31,32,36,31
Alaska,71,0,0,75
Arkansas,79,57,0,72
Delaware,86,80,0,81
Idaho,61,61,0,83
Maine,82,73,0,78
Mississippi,81,58,0,65
Montana,73,57,0,89
North Dakota,76,70,0,86
New Hampshire,69,80,0,77
New Mexico,65,49,0,80
South Dakota,86,80,0,93
Vermont,81,59,0,80
West Virginia,82,52,0,91
Wyoming,76,0,0,92

Top subregions for halloween
Subregion,ebola,taylor swift,1989,halloween
Utah,50,82,77,100
South Dakota,86,80,0,93
Wyoming,76,0,0,92
West Virginia,82,52,0,91
Montana,73,57,0,89
North Dakota,76,70,0,86
Idaho,61,61,0,83
California,63,61,69,83
Rhode Island,74,100,100,81
Delaware,86,80,0,81
New Mexico,65,49,0,80
Vermont,81,59,0,80
Pennsylvania,67,71,73,80
New Jersey,77,59,55,79
Nebraska,66,68,70,78
Nevada,67,49,50,78
Hawaii,64,53,58,78
Maine,82,73,0,78
Michigan,67,60,67,78
Oklahoma,93,59,58,77
New Hampshire,69,80,0,77
New York,87,66,60,77
Florida,68,49,52,76
Alaska,71,0,0,75
District of Columbia,86,76,76,75
Kentucky,68,64,69,75
Texas,100,53,57,74
Colorado,63,52,50,74
Arizona,61,54,58,73
Illinois,71,55,57,73
Arkansas,79,57,0,72
Louisiana,86,57,60,72
Indiana,63,62,72,72
Iowa,63,69,68,72
Ohio,80,63,62,72
Massachusetts,69,75,74,71
Tennessee,68,66,70,71
Connecticut,84,77,74,70
Missouri,68,57,59,70
Wisconsin,62,59,61,69
Minnesota,60,59,57,68
Alabama,80,64,72,68
Washington,60,53,67,67
South Carolina,66,58,59,66
Mississippi,81,58,0,65
Kansas,68,51,59,64
North Carolina,67,56,61,64
Maryland,74,53,54,62
Georgia,70,49,56,62
Virginia,47,45,42,39
Oregon,31,32,36,31


Top metros for ebola
Metro,ebola,taylor swift,1989,halloween
Dallas-Ft. Worth TX,100,63,74,62
Lubbock TX,93,0,0,89
Tyler-Longview(Lufkin & Nacogdoches) TX,92,0,0,82
Odessa-Midland TX,90,0,0,0
Baton Rouge LA,88,0,0,63
Shreveport LA,88,0,0,75
Youngstown OH,87,0,0,96
Tri-Cities TN-VA,85,0,0,86
Binghamton NY,83,0,0,90
Charleston-Huntington WV,83,0,0,84
Waco-Temple-Bryan TX,81,0,0,69
Hattiesburg-Laurel MS,81,0,0,67
Oklahoma City OK,80,76,0,76
New Orleans LA,79,0,0,65
Cleveland-Akron (Canton) OH,79,69,0,69
Lafayette LA,78,0,0,81
Topeka KS,78,0,0,72
Little Rock-Pine Bluff AR,78,0,0,71
Corpus Christi TX,78,0,0,89
New York NY,78,75,76,65
Minot-Bismarck-Dickinson(Williston) ND,77,0,0,84
Bangor ME,77,0,0,71
Mobile AL-Pensacola (Ft. Walton Beach) FL,77,0,0,57
Montgomery (Selma) AL,77,0,0,0
Harrisonburg VA,77,0,0,74
Erie PA,77,0,0,87
Toledo OH,76,0,0,75
Gainesville FL,75,0,0,79
Hartford & New Haven CT,75,0,0,65
Fresno-Visalia CA,75,0,0,75
Austin TX,74,77,0,61
Sioux Falls(Mitchell) SD,74,0,0,86
El Paso TX,74,0,0,98
Wilmington NC,73,0,0,91
La Crosse-Eau Claire WI,72,0,0,68
Greenville-New Bern-Washington NC,72,0,0,72
Wausau-Rhinelander WI,72,0,0,75
Johnstown-Altoona PA,72,0,0,82
Macon GA,71,0,0,55
Huntsville-Decatur (Florence) AL,71,0,0,69
Columbus OH,71,74,0,63
Jackson MS,71,0,0,64
Birmingham AL,70,0,0,68
Albany-Schenectady-Troy NY,67,0,0,75
Columbia SC,66,0,0,59
Houston TX,66,56,0,61
Anchorage AK,66,0,0,72
Providence RI-New Bedford MA,66,0,0,75
San Antonio TX,65,0,0,69
Bowling Green KY,65,0,0,66
Ft. Wayne IN,65,0,0,77
Springfield-Holyoke MA,64,0,0,80
Portland-Auburn ME,64,0,0,74
West Palm Beach-Ft. Pierce FL,64,0,0,75
Chicago IL,64,65,75,61
Augusta GA,64,0,0,60
Burlington VT-Plattsburgh NY,64,0,0,66
Richmond-Petersburg VA,64,0,0,62
Yakima-Pasco-Richland-Kennewick WA,64,0,0,68
Memphis TN,64,0,0,68
Albuquerque-Santa Fe NM,64,0,0,75
Fargo-Valley City ND,64,0,0,81
Norfolk-Portsmouth-Newport News VA,63,0,0,57
Ft. Myers-Naples FL,63,0,0,67
Dayton OH,63,0,0,71
Knoxville TN,63,0,0,71
Charleston SC,63,0,0,74
Davenport IA-Rock Island-Moline IL,63,0,0,77
Spokane WA,63,0,0,69
Columbia-Jefferson City MO,62,0,0,80
Wichita-Hutchinson KS,62,0,0,69
Lansing MI,62,0,0,86
Buffalo NY,62,0,0,77
Syracuse NY,62,0,0,75
Tallahassee FL-Thomasville GA,62,0,0,72
Madison WI,61,0,0,67
Peoria-Bloomington IL,61,0,0,75
Springfield MO,61,0,0,61
Reno NV,61,0,0,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61,0,0,74
Tulsa OK,61,0,0,55
Cincinnati OH,60,0,0,70
Flint-Saginaw-Bay City MI,60,0,0,81
Kansas City MO,60,0,0,63
Pittsburgh PA,60,82,0,76
Rochester NY,60,0,0,75
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,60,0,0,82
Detroit MI,59,72,0,64
South Bend-Elkhart IN,59,0,0,73
Baltimore MD,59,69,0,60
St. Louis MO,59,74,0,66
Savannah GA,59,0,0,68
Columbus GA,59,0,0,60
Evansville IN,58,0,0,81
Colorado Springs-Pueblo CO,58,0,0,72
Florence-Myrtle Beach SC,58,0,0,64
Chico-Redding CA,58,0,0,84
Harrisburg-Lancaster-Lebanon-York PA,58,0,0,66
Tucson (Sierra Vista) AZ,58,0,0,70
Wilkes Barre-Scranton PA,58,0,0,89
Indianapolis IN,57,0,0,66
Greensboro-High Point-Winston Salem NC,57,0,0,58
Grand Rapids-Kalamazoo-Battle Creek MI,57,0,0,66
Nashville TN,57,84,0,63
Atlanta GA,57,55,0,53
Bakersfield CA,57,0,0,100
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57,0,0,63
Champaign & Springfield-Decatur IL,56,0,0,79
Louisville KY,56,0,0,63
Raleigh-Durham (Fayetteville) NC,56,75,0,56
Washington DC (Hagerstown MD),56,62,69,50
Las Vegas NV,56,0,0,70
Charlotte NC,56,0,0,58
Orlando-Daytona Beach-Melbourne FL,56,57,0,70
Boston MA-Manchester NH,55,92,97,66
Chattanooga TN,55,0,0,77
Ft. Smith-Fayetteville-Springdale-Rogers AR,55,0,0,74
Philadelphia PA,54,82,91,71
Harlingen-Weslaco-Brownsville-McAllen TX,54,0,0,75
Omaha NE,54,0,0,75
Phoenix AZ,54,62,0,67
Des Moines-Ames IA,54,0,0,71
Denver CO,53,62,0,65
Tampa-St. Petersburg (Sarasota) FL,53,53,0,64
Green Bay-Appleton WI,53,0,0,78
Sacramento-Stockton-Modesto CA,52,0,0,65
Eugene OR,52,0,0,72
Honolulu HI,52,0,0,71
Minneapolis-St. Paul MN,52,76,0,63
Lexington KY,52,0,0,82
Monterey-Salinas CA,51,0,0,77
San Diego CA,51,62,0,67
Lincoln & Hastings-Kearney NE,51,0,0,66
Miami-Ft. Lauderdale FL,51,45,0,67
Jacksonville FL,51,0,0,82
Boise ID,51,0,0,78
Seattle-Tacoma WA,50,61,79,61
Los Angeles CA,50,72,80,70
Milwaukee WI,50,0,0,61
Salt Lake City UT,45,100,0,86
Santa Barbara-Santa Maria-San Luis Obispo CA,45,0,0,85
San Francisco-Oakland-San Jose CA,43,70,100,63
Portland OR,27,38,0,25
Roanoke-Lynchburg VA,14,42,0,11
Albany GA,0,0,0,0
Utica NY,0,0,0,0
Traverse City-Cadillac MI,0,0,0,72
Watertown NY,0,0,0,0
Presque Isle ME,0,0,0,0
Marquette MI,0,0,0,0
Wheeling WV-Steubenville OH,0,0,0,0
Lima OH,0,0,0,0
Bluefield-Beckley-Oak Hill WV,0,0,0,0
Elmira NY,0,0,0,0
Salisbury MD,0,0,0,0
Terre Haute IN,0,0,0,0
Lafayette IN,0,0,0,0
Alpena MI,0,0,0,0
Charlottesville VA,0,0,0,72
Zanesville OH,0,0,0,0
Parkersburg WV,0,0,0,0
Clarksburg-Weston WV,0,0,0,0
Joplin MO-Pittsburg KS,0,0,0,0
Dothan AL,0,0,0,0
Rockford IL,0,0,0,75
Rochester MN-Mason City IA-Austin MN,0,0,0,73
Sioux City IA,0,0,0,79
Victoria TX,0,0,0,0
Wichita Falls TX & Lawton OK,0,0,0,0
Monroe LA-El Dorado AR,0,0,0,0
Ottumwa IA-Kirksville MO,0,0,0,0
Amarillo TX,0,0,0,89
St. Joseph MO,0,0,0,0
Jackson TN,0,0,0,0
Lake Charles LA,0,0,0,0
Alexandria LA,0,0,0,0
Greenwood-Greenville MS,0,0,0,0
Panama City FL,0,0,0,0
Sherman TX-Ada OK,0,0,0,0
San Angelo TX,0,0,0,0
Abilene-Sweetwater TX,0,0,0,0
Columbus-Tupelo-West Point MS,0,0,0,0
Duluth MN-Superior WI,0,0,0,73
Beaumont-Port Arthur TX,0,0,0,93
Meridian MS,0,0,0,0
Quincy IL-Hannibal MO-Keokuk IA,0,0,0,0
Jonesboro AR,0,0,0,0
Mankato MN,0,0,0,0
North Platte NE,0,0,0,0
Fairbanks AK,0,0,0,0
Biloxi-Gulfport MS,0,0,0,0
Juneau AK,0,0,0,0
Laredo TX,0,0,0,0
Butte-Bozeman MT,0,0,0,0
Great Falls MT,0,0,0,0
Billings MT,0,0,0,0
Idaho Falls-Pocatello ID,0,0,0,83
Cheyenne WY-Scottsbluff NE,0,0,0,0
Twin Falls ID,0,0,0,0
Missoula MT,0,0,0,78
Rapid City SD,0,0,0,0
Helena MT,0,0,0,0
Casper-Riverton WY,0,0,0,0
Yuma AZ-El Centro CA,0,0,0,0
Grand Junction-Montrose CO,0,0,0,0
Glendive MT,0,0,0,0
Eureka CA,0,0,0,0
Palm Springs CA,0,0,0,94
Medford-Klamath Falls OR,0,0,0,0
Bend OR,0,0,0,0

Top metros for taylor swift
Metro,ebola,taylor swift,1989,halloween
Salt Lake City UT,45,100,0,86
Boston MA-Manchester NH,55,92,97,66
Nashville TN,57,84,0,63
Philadelphia PA,54,82,91,71
Pittsburgh PA,60,82,0,76
Austin TX,74,77,0,61
Minneapolis-St. Paul MN,52,76,0,63
Oklahoma City OK,80,76,0,76
Raleigh-Durham (Fayetteville) NC,56,75,0,56
New York NY,78,75,76,65
St. Louis MO,59,74,0,66
Columbus OH,71,74,0,63
Detroit MI,59,72,0,64
Los Angeles CA,50,72,80,70
San Francisco-Oakland-San Jose CA,43,70,100,63
Cleveland-Akron (Canton) OH,79,69,0,69
Baltimore MD,59,69,0,60
Chicago IL,64,65,75,61
Dallas-Ft. Worth TX,100,63,74,62
Phoenix AZ,54,62,0,67
San Diego CA,51,62,0,67
Washington DC (Hagerstown MD),56,62,69,50
Denver CO,53,62,0,65
Seattle-Tacoma WA,50,61,79,61
Orlando-Daytona Beach-Melbourne FL,56,57,0,70
Houston TX,66,56,0,61
Atlanta GA,57,55,0,53
Tampa-St. Petersburg (Sarasota) FL,53,53,0,64
Miami-Ft. Lauderdale FL,51,45,0,67
Roanoke-Lynchburg VA,14,42,0,11
Portland OR,27,38,0,25
Portland-Auburn ME,64,0,0,74
Binghamton NY,83,0,0,90
Macon GA,71,0,0,55
Savannah GA,59,0,0,68
Ft. Wayne IN,65,0,0,77
Flint-Saginaw-Bay City MI,60,0,0,81
Buffalo NY,62,0,0,77
Cincinnati OH,60,0,0,70
Erie PA,77,0,0,87
Charlotte NC,56,0,0,58
Greensboro-High Point-Winston Salem NC,57,0,0,58
Charleston SC,63,0,0,74
Augusta GA,64,0,0,60
Providence RI-New Bedford MA,66,0,0,75
Columbus GA,59,0,0,60
Burlington VT-Plattsburgh NY,64,0,0,66
Albany GA,0,0,0,0
Utica NY,0,0,0,0
Indianapolis IN,57,0,0,66
Louisville KY,56,0,0,63
Tallahassee FL-Thomasville GA,62,0,0,72
Tri-Cities TN-VA,85,0,0,86
Albany-Schenectady-Troy NY,67,0,0,75
Hartford & New Haven CT,75,0,0,65
Youngstown OH,87,0,0,96
Bangor ME,77,0,0,71
Rochester NY,60,0,0,75
Traverse City-Cadillac MI,0,0,0,72
Lexington KY,52,0,0,82
Dayton OH,63,0,0,71
Springfield-Holyoke MA,64,0,0,80
Norfolk-Portsmouth-Newport News VA,63,0,0,57
Greenville-New Bern-Washington NC,72,0,0,72
Columbia SC,66,0,0,59
Toledo OH,76,0,0,75
West Palm Beach-Ft. Pierce FL,64,0,0,75
Watertown NY,0,0,0,0
Wilmington NC,73,0,0,91
Lansing MI,62,0,0,86
Presque Isle ME,0,0,0,0
Marquette MI,0,0,0,0
Wheeling WV-Steubenville OH,0,0,0,0
Syracuse NY,62,0,0,75
Richmond-Petersburg VA,64,0,0,62
Knoxville TN,63,0,0,71
Lima OH,0,0,0,0
Bluefield-Beckley-Oak Hill WV,0,0,0,0
Jacksonville FL,51,0,0,82
Grand Rapids-Kalamazoo-Battle Creek MI,57,0,0,66
Charleston-Huntington WV,83,0,0,84
Elmira NY,0,0,0,0
Harrisburg-Lancaster-Lebanon-York PA,58,0,0,66
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57,0,0,63
Harrisonburg VA,77,0,0,74
Florence-Myrtle Beach SC,58,0,0,64
Ft. Myers-Naples FL,63,0,0,67
Johnstown-Altoona PA,72,0,0,82
Chattanooga TN,55,0,0,77
Salisbury MD,0,0,0,0
Wilkes Barre-Scranton PA,58,0,0,89
Terre Haute IN,0,0,0,0
Lafayette IN,0,0,0,0
Alpena MI,0,0,0,0
Charlottesville VA,0,0,0,72
South Bend-Elkhart IN,59,0,0,73
Gainesville FL,75,0,0,79
Zanesville OH,0,0,0,0
Parkersburg WV,0,0,0,0
Clarksburg-Weston WV,0,0,0,0
Corpus Christi TX,78,0,0,89
Joplin MO-Pittsburg KS,0,0,0,0
Columbia-Jefferson City MO,62,0,0,80
Topeka KS,78,0,0,72
Dothan AL,0,0,0,0
Rockford IL,0,0,0,75
Rochester MN-Mason City IA-Austin MN,0,0,0,73
Shreveport LA,88,0,0,75
Kansas City MO,60,0,0,63
Milwaukee WI,50,0,0,61
Springfield MO,61,0,0,61
New Orleans LA,79,0,0,65
Sioux City IA,0,0,0,79
Waco-Temple-Bryan TX,81,0,0,69
Victoria TX,0,0,0,0
Wichita Falls TX & Lawton OK,0,0,0,0
Monroe LA-El Dorado AR,0,0,0,0
Birmingham AL,70,0,0,68
Ottumwa IA-Kirksville MO,0,0,0,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,60,0,0,82
Odessa-Midland TX,90,0,0,0
Amarillo TX,0,0,0,89
Harlingen-Weslaco-Brownsville-McAllen TX,54,0,0,75
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61,0,0,74
St. Joseph MO,0,0,0,0
Jackson TN,0,0,0,0
Memphis TN,64,0,0,68
San Antonio TX,65,0,0,69
Lafayette LA,78,0,0,81
Lake Charles LA,0,0,0,0
Alexandria LA,0,0,0,0
Greenwood-Greenville MS,0,0,0,0
Champaign & Springfield-Decatur IL,56,0,0,79
Evansville IN,58,0,0,81
Lubbock TX,93,0,0,89
Omaha NE,54,0,0,75
Panama City FL,0,0,0,0
Sherman TX-Ada OK,0,0,0,0
Green Bay-Appleton WI,53,0,0,78
San Angelo TX,0,0,0,0
Abilene-Sweetwater TX,0,0,0,0
Madison WI,61,0,0,67
Ft. Smith-Fayetteville-Springdale-Rogers AR,55,0,0,74
Tulsa OK,61,0,0,55
Columbus-Tupelo-West Point MS,0,0,0,0
Peoria-Bloomington IL,61,0,0,75
Duluth MN-Superior WI,0,0,0,73
Wichita-Hutchinson KS,62,0,0,69
Des Moines-Ames IA,54,0,0,71
Davenport IA-Rock Island-Moline IL,63,0,0,77
Mobile AL-Pensacola (Ft. Walton Beach) FL,77,0,0,57
Minot-Bismarck-Dickinson(Williston) ND,77,0,0,84
Huntsville-Decatur (Florence) AL,71,0,0,69
Beaumont-Port Arthur TX,0,0,0,93
Little Rock-Pine Bluff AR,78,0,0,71
Montgomery (Selma) AL,77,0,0,0
La Crosse-Eau Claire WI,72,0,0,68
Wausau-Rhinelander WI,72,0,0,75
Tyler-Longview(Lufkin & Nacogdoches) TX,92,0,0,82
Hattiesburg-Laurel MS,81,0,0,67
Meridian MS,0,0,0,0
Baton Rouge LA,88,0,0,63
Quincy IL-Hannibal MO-Keokuk IA,0,0,0,0
Jackson MS,71,0,0,64
Lincoln & Hastings-Kearney NE,51,0,0,66
Fargo-Valley City ND,64,0,0,81
Sioux Falls(Mitchell) SD,74,0,0,86
Jonesboro AR,0,0,0,0
Bowling Green KY,65,0,0,66
Mankato MN,0,0,0,0
North Platte NE,0,0,0,0
Anchorage AK,66,0,0,72
Honolulu HI,52,0,0,71
Fairbanks AK,0,0,0,0
Biloxi-Gulfport MS,0,0,0,0
Juneau AK,0,0,0,0
Laredo TX,0,0,0,0
Colorado Springs-Pueblo CO,58,0,0,72
Butte-Bozeman MT,0,0,0,0
Great Falls MT,0,0,0,0
Billings MT,0,0,0,0
Boise ID,51,0,0,78
Idaho Falls-Pocatello ID,0,0,0,83
Cheyenne WY-Scottsbluff NE,0,0,0,0
Twin Falls ID,0,0,0,0
Missoula MT,0,0,0,78
Rapid City SD,0,0,0,0
El Paso TX,74,0,0,98
Helena MT,0,0,0,0
Casper-Riverton WY,0,0,0,0
Yuma AZ-El Centro CA,0,0,0,0
Grand Junction-Montrose CO,0,0,0,0
Tucson (Sierra Vista) AZ,58,0,0,70
Albuquerque-Santa Fe NM,64,0,0,75
Glendive MT,0,0,0,0
Bakersfield CA,57,0,0,100
Eugene OR,52,0,0,72
Eureka CA,0,0,0,0
Palm Springs CA,0,0,0,94
Yakima-Pasco-Richland-Kennewick WA,64,0,0,68
Reno NV,61,0,0,76
Medford-Klamath Falls OR,0,0,0,0
Bend OR,0,0,0,0
Monterey-Salinas CA,51,0,0,77
Las Vegas NV,56,0,0,70
Santa Barbara-Santa Maria-San Luis Obispo CA,45,0,0,85
Sacramento-Stockton-Modesto CA,52,0,0,65
Fresno-Visalia CA,75,0,0,75
